AlibiItalia	http://46.202.175.91:1090/stream	0
ANNI 80 - La Radio Ufficiale	http://nr11.newradio.it:9208/stream	0
Azzurra Italia 3	http://radio.streemlion.com:1290/stream	0
Ciao Italia Radio	http://cheetah.streemlion.com:1710/stream	0
GlitterBeam Italia	http://quincy.torontocast.com:1740/stream	0
ITALIA NOSTALGIA RADIO	http://manager8.streamradio.fr:2150/stream	0
Italian Songs Radio	http://95.110.186.253:8000/italiana.mp3	0
ONE ITALIA RADIO	http://nr12.newradio.it:8694/stream	0
Radio Eco Vicentino - Italiana	http://c20.radioboss.fm:8118/autodj	0
Radio Hitalia BEL	http://manager7.streamradio.fr:1510/stream	0
Radio Italia Anni 60	http://ice10.fluidstream.net:8080/anni60tn.aac	0
Radio Kiss Kiss	http://ice07.fluidstream.net:8080/KissKiss.mp3	0
RADIO KOLBE ITALIA	http://uk2.streamingpulse.com:7009/live	0
RADIO MASTER L'ITALIANA	http://nrf1.newradio.it:10386/stream	0
Radio Montecarlo	http://edge.radiomontecarlo.net/RMC.mp3	0
RADIO RELAX Italia	http://listen.radiorel.ax:8083/play	0
Radio Riders Italia	http://nrf1.newradio.it:10050/stream	0
RADIO VIVA ITALIA	http://quincy.torontocast.com:1510/stream	0
RADIO WEB ITALIA - Only Italian Music	http://nrf1.newradio.it:10216/stream	0
Radiosa Music	http://radioradiosa.streamingmedia.it:7239/play	0
RTL 102.5	http://streaming503.radionomy.com:80/rtl-1025-news_48.aac	0
TOP ITALIA	http://manager5.streamradio.fr:1800/stream	0
Virgin Radio	https://icecast.unitedradio.it/Virgin.mp3	0
Radio7	http://ice09.fluidstream.net:80/radio7.mp3	0
MB STUDIO	http://nr12.newradio.it:8640/stream	0
Terra Promessa Radio	http://nr14.newradio.it:8552/stream	0
PUNTO RADIO	http://puntoradiofm.streamingmedia.it:7022/play	0
Eternal Webradio	http://manager4.streamradio.fr:1180/stream	0
Magic Radio	http://aac.magic-radio.net:80/	0
